Область,Район,Название,Описание
Тульская область,Новомосковский,Пронское водохранилище,Большое водохранилище расположено на границе Тульской и Рязанской областей. Створ его плотины находится у села Гремячье Новомосковского района.  Водохранилище устроено на реке Проня...
Тульская область,Щекинский,Пруд «Беловы дворы»,"Пруд «Беловы дворы»  расположен недалеко от деревни Беловы дворы. Из рыбы здесь водятся сазан (от 2 до 5 кг), карп зеркальный (от 500 гр до 5-6 кг, средняя…"
Тульская область,,Пруд Сергеевский,"На Сергеевском пруду обычно много отдыхающих - акватория у водоема большая, подъезд к нему очень удобный. Ловить здесь можно как с берега, так и с лодки. В…"
Тульская область,Дубенский,Рыбное хозяйство «Остроган»,Замечательное живописное место для отдыха и рыбалки находится всего в 53 километрах от Тулы по дороге на Суворов. Прекрасный чистый водоем площадью 36 га с…
Тульская область,Дубенский,Рыбхоз «Воскресенский»,"Рыбхоз «Воскресенский» - полносистемное рыбоводное хозяйство. В водоёме водится карп, белый амур, щука, окунь. Хозяйство введено в действие в 1967…"
Тульская область,Узловский,Рыбхоз «Дон-Люторич»,"Рыбхоз &laquo;Дон-Люторич&raquo; работает с 1934 года. Общая площадь его прудов - 112,7 га. Они питаются водой реки Люторич и паводковыми водами. В пруду…"
Тульская область,Кимовский,Рыбхоз «Кимовский»,"Рыбхоз «Кимовский» включает в себя один нагульный пруд площадью 400 га и шесть зимовальных прудов площадью 4,5 га. Здесь водятся карп и белый амур…"
Тульская область,Ефремовский,Рыбхоз «Кобыленка» ,"Рыбхоз «Кобыленка»  введен в эксплуатацию в 1933 году, в 969 году дополнительно расширен. Сейчас общая площадь прудов - 165 гектаров. Здесь можно поймать карпа…"
Тульская область,Ленинский,Рыбхоз «Непрейка»,"Рыбхоз «Непрейка» работает с 1936 года. Здесь можно поймать карпа, белого амура, щуку, серебряного карпа. Площадь прудов «Непрейки» составляет 185 га. Их…"
Тульская область,Ясногорский,Синиченский клуб охотников и рыболовов,Охотничья база Синиченского клуба охотников и рыболовов расположена в 170 км от МКАД г. Москвы по Симферопольскому шоссе. Охотничья база предлагает охоту на…
Тульская область,Веневский,Тюнежское охотничье хозяйство,Тюнежское охотничье хозяйство организовано сравнительно недавно энтузиастами охоты с легавой всего в 100 км от Москвы на границе Московской и Тульской областей…
Тульская область,Суворовский,Черепетское (Суворовское) водохранилище,"Черепетское водохранилище было создано на реке Черепеть при постройке ГРЭС в городе Суворов. Основное назначение водоема - охлаждение ГРЭС, но жители Суворова и…"
Тульская область,Щекинский,Щёкинское водохранилище,"Шёкинское водохранилище находится на реке Упа у города Советска. Площадь зеркала водохранилища - 600 га. Используется как охладитель Щёкинской ГРЭС, а также как…"
Мурманская область,Ловозерский,База «Ача»,"База «Ача» расположена в устье реки Ачерйок, притока реки Поной, в 4 км от села Канаевка. В 25 км вниз по течению реки Поной гаходится база «Пача». На базе…"
Астраханская область,Камызякский,Гостевой дом «У Саши»,Гостевой дом &laquo;У Саши&raquo; расположен в непосредственной близи от раскатов Гандуринского банка. Дом &mdash; на берегу реки (&laquo;первая линия&raquo;)…
Алтайский край,Смоленский,"«Парк животных ледникового периода», Смоленский район","В «Парке животных ледникового периода» есть северные олени, зубры, яки, маралы, якутские лошади, галловейская и абердин-ангусская порода крупного…"
Удмуртская Республика,,База отдыха «Лосиный остров»,"«Лосиный остров» располагается в сосновом бору на берегу Ижевского пруда.  В этой части Ижевского пруда водится подлещ, лещ, щука, сорожка..."
Удмуртская Республика,Сарапульский,База отдыха «Рябинушка»,База отдыха «Рябинушка» расположена на берегу реки Кама по Гольянскому тракту после горнолыжного курорта «Нечкино». Для любителей…
Удмуртская Республика,Каракулинский,База отдыха «Усть-Бельск»,"В зоне организованного туризма и рекреации природного парка «Усть-Бельск» разрешена любительская охота. Здесь охотятся на боровую (тетерев) и водоплавающую дичь (утка, гусь)"
Удмуртская Республика,Сарапульский,База отдыха «Чайка»,База отдыха «Чайка» располагается в 12 км от Сарапула. Работает она круглый год; здесь предлагают множество летних и зимних видов отдыха. На базе…
Удмуртская Республика,Глазовский,Загородный комплекс отдыха «Горлица»,"Горлица — хуторок недалеко от Глазова. Рядом с «Горлицей» устроен карповый пруд для рыбалки, кроме того, здесь можно взять напрокат снаряжение…"
Удмуртская Республика,Воткинский,Рыбное хозяйство «Пихтовка»,"Пруды рыбхоза «Пихтовка» расположены в пойме рек Пихтовка и Осиновка. Всего их насчитывается 47, общая площадь прудов..."
Удмуртская Республика,Воткинский,Туристический комплекс «Камские дали»,"База отдыха «Камские дали» расположена на берегу Воткинского водохранилища. На территории базы оборудован бассейн, футбольное поле, волейбольная площадка…"
Мурманская область,Ловозерский,База «Бревенный»,"База «Бревенный» расположена в устье притока ручья Большой Бревенный реки Поной. Поной — крупнейшая река Кольского полуострова, широкая, с переменчивым…"
Мурманская область,Кольский,База «Вува»,База отдыха «Вува» находится на берегу одноименной реки в экологически чистом районе вблизи Лапландского заповедника.
Мурманская область,Ловозерский,База «Ефимозеро»,"Гостям базы «Ефимозеро» предлагается рыбалка, охота, сплавы по рекам, катание на снегоходах. База расположена в 250 км от Мурманска на берегу Ефимозера. Состоит…"
Мурманская область,Кольский,База «Зеленый берег»,"База отдыха «Зеленый берег» расположена на берегу Верхнетуломского водохранилища. Здесь можно насладиться чистым воздухом, погулять в лесу, прокатиться на лодке по озеру, пожарить шашлыки и порыбачить."
Мурманская область,Ловозерский,База «Пача»,"База «Пача» расположена в устье реки Пачи, притока реки Поной, в 120 км от устья. На базе созданы условия для морской рыбалке и спортивного рыболовства. Средний…"
Мурманская область,,База «Погост»,Просторный рыболовецкий лагерь «Погост» на высоком берегу реки Умбы расположен в 9 км от административного центра Терского района села Умба и в 12…
Астраханская область,Камызякский,База отдыха «Серебряная дельта»,"Рыболовная база &laquo;Серебряная Дельта&raquo; расположена в дельте Волги на правом берегу реки Николаевская, между Рытым и Белужьим банками, недалеко от…"
Мурманская область,,Комплекс туризма и рыбалки &quot;Пиренга&quot;,Комплекс туризма и рыбалки &quot;Пиренга&quot; расположен в районе 1201 км трассы М18 &laquo;С-Петербург - Мурманск&raquo; на берегу озера Нижняя Пиренга на границе с…
Мурманская область,Терский,Озеро Канозеро,"Озеро Канозеро расположено в юго-восточной части Кольского полуострова в системе реки Умба. Длина озера —порядка 30 километров, ширина — до 6 километров…"
Астраханская область,Красноярский,Туристическая база «Домнареке»,"Туристическая база отдыха &laquo;Домнареке&raquo; находится в селе Бузан Красноярского района Астраханской области. Недалеко от этого места, чуть выше течения…"
Астраханская область,Камызякский,База отдыха «Ривер Хаус Отель»,"Рыболовная база &laquo;Ривер Хаус отель&raquo; расположена в Камызякском районе Астраханской области, на живописном речном острове Станья, окруженном со всех…"
Астраханская область,Камызякский,Рыболовно-охотничья  база «Гусь Лапчатый»,"Рыболовно-охотничья база &laquo;Гусь лапчатый&raquo; расположена в дельте Волги, на острове Станья Камызякского района Астраханской области. Расстояние от…"
